Index,emissions/y,COMMUNITY,EARLY USER,CORE TEAM,INVESTORS,EMPLOYEES,RESERVE,TOTAL CIRC SUPPLY
0,,,,,,,,
1,274815283.0,274815283.0,151515151.5,196969696.95000002,60606060.6,45454545.449999996,151515151.5,880875889.0000001
2,231091186.3316351,505906469.33163506,151515151.5,393939393.90000004,121212121.2,90909090.89999999,151515151.5,1414997378.3316352
3,194323750.18300015,700230219.5146352,151515151.5,590909090.85,121212121.2,90909090.89999999,151515151.5,1806290825.4646354
4,163406144.9275432,863636364.4421784,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2166666667.3421783
5,137407641.50000003,1001044005.9421785,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2304074308.8421783
6,274815284.0,1116589599.107996,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2419619902.007996
7,97161875.09150009,1213751474.1994963,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2516781777.0994964
8,81703072.46377163,1295454546.6632679,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2598484849.5632677
9,68703820.75000003,1364158367.4132679,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2667188670.3132677
10,57772796.582908794,1421931163.9961767,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2724961466.896177
11,274815285.0,1470512101.5419266,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2773542404.4419265
12,40851536.23188581,1511363637.7738125,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2814393940.6738124
13,34351910.37500002,1545715548.1488125,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2848745851.0488124
14,28886398.2914544,1574601946.4402668,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2877632249.3402667
15,274815284.0,1598892415.2131422,151515151.5,787878787.8000001,121212121.2,90909090.89999999,151515151.5,2901922718.113142
